#,System,If Dominic says,What,Key Files,Pattern Rules
1,"Booking / order flow","'add a booking page' / 'build a checkout flow' / 'how do customers order' / 'order steps' / 'wizard'","3-step accordion on a single page (Contact -> Event Details -> Review & Book)","client/src/pages/booking.tsx; client/src/lib/cart.tsx","One section open at a time via expandedSection state | localStorage form key with 30-min inactivity TTL that clears stale sessions | Phone/email sanitized via cleanPhone/cleanEmail before submit | Signature captured in Step 3 via canvas -> SVG -> base64 | Promo codes + damage waiver + payment method picker all live in Step 3 | NEVER a multi-page route per step — keep it one URL"
2,"Date selection","'add a calendar' / 'date picker' / 'event date' / 'pick a date' / 'when are they coming'","DROPDOWN year/month/day pickers — NEVER visual-only calendar","client/src/components/ui/date-picker.tsx; client/src/components/date-nav-input.tsx; client/src/pages/availability-browse.tsx","Year/month/day dropdowns FIRST | Popover + Calendar allowed as a secondary aid only | Manual prev/next-day arrow buttons (shiftDate helper) for fast nav | Times are Select dropdowns (never inline numeric input) | Earliest bookable date enforced server-side | All dates stored as YYYY-MM-DD strings parsed via date-fns | Holiday check on every date change"
3,"Cart & inventory hold","'add to cart' / 'inventory hold' / 'reserve' / 'shopping cart' / 'session'","localStorage cart + server-side reservations with TTL auto-release","client/src/lib/cart.tsx; server/routes.ts (/api/cart/hold, /heartbeat, /release)","Session ID in localStorage (24h persistence) | POST /api/cart/hold creates inventoryReservation with status=cart | Heartbeat keeps hold alive; cold sessions auto-release ~15 min | /api/cart/release on clear | NO deposit charged until full booking form + payment token POST to /api/orders"
4,"Checkout / payment","'add payments' / 'checkout' / 'take cards' / 'BNPL' / 'Affirm' / 'Klarna' / 'deposit' / 'signature'","Square Web Payments SDK + Stripe BNPL (Affirm, Klarna, Zip, Afterpay)","client/src/pages/booking.tsx; server/square-payments.ts; server/stripe-payments.ts","Square = primary card processor | Stripe = BNPL only (Affirm/Klarna/Zip/Afterpay) | Deposit % from business_settings, never hardcoded | Server's recomputeOrderTotals() is source of truth — never trust client math | Order transitions to confirmed only after depositPaid=true AND signature collected | No partial/retry payments auto-fired | Failed checkout returns user to booking page"
5,"Buffer / setup time","'setup time' / 'turnaround' / 'buffer' / 'how long to set up' / 'same-day flip'","Per-product setupTime integer (minutes) used in availability calc","server/routes.ts (productNeedsTurnaroundBuffer); shared/schema.ts; server/venue-scheduling.ts","Generators + Tables/Chairs skip buffer (same-day flip OK) | All inflatables/tents/concessions need buffer | Per-product-per-date overrides via productSetupTimes table | buildVenueTimeSlotsForDate() uses buffer to block overlapping venue slots"
6,"Quote-to-order conversion","'save as quote' / 'send a quote' / 'resume booking' / 'convert quote' / 'draft order'","Draft has quoteToken UUID; conversion creates NEW order; old draft archived","server/routes.ts (/api/booking/resume/:token, /api/quotes/resume/:token)","Resume URL restores cart + form from draft | Line items + orderPackages + bannerThemeId + coupons all copy directly | Archive old draft only AFTER conversion succeeds | Pre-2026-05-24 bug dropped packages/banner on conversion — fixed; agents must not regress this"
7,"Coupon system","'add coupons' / 'discount codes' / 'promo' / 'WEEKEND25' / 'employee discount' / 'referral code'","Order of ops: subtotal -> coupon -> tax; per-customer grants checked first","server/routes.ts (POST /api/validate-promo); server/coupon-grants.ts","Per-customer grants checked FIRST (referral, employee), then global promo_codes table | hasPackages=true REJECTS code — promos do NOT stack with packages | Overnight fee not taxed (only subtotal + damageWaiver taxable) | Auto-toggle flash codes (WEEKEND25, WEEKDAY30) flipped server-side via orchestrator | One active coupon per customer at a time — never stacked"
8,"Holiday & banner system","'add a holiday banner' / 'Memorial Day' / 'July 4' / 'Easter' / 'banner' / 'promo banner'","Real holidays via Gregorian math; banner shows ONLY on real promo OR real holiday","shared/holiday-utils.ts; client/src/components/seasonal-experience.tsx","nthWeekdayOfMonth + lastWeekdayOfMonth + Easter algorithm for moving holidays | getShiftedDates() defaults -1 day delivery, +1 day pickup | Banner active window 00:00-23:59 of actual day only | NEVER use activeDaysBefore/After to creep | NEVER a daily generic look-at-us banner"
9,"Driver app / dispatch","'driver app' / 'dispatch' / 'route' / 'truck' / 'multi-stop' / 'GPS' / 'load checklist'","driverStops table joined to orders; status state machine","server/driver-routes.ts; server/utils/order-date-sync.ts; shared/schema.ts (driverStops)","Status lifecycle: pending -> in-transit -> arrived -> completed | skipped | autoAttachOrderToTruck() fires on order status=active | Route re-optimizes if event date moves | Skip feature jumps ahead; server auto-restores skipped stops on complete | GPS pings stored in gpsTrackingPings | Load checklist uses customer-facing inflatable number, NOT internal product_id"
10,"Admin quick-book vs full book","'admin order entry' / 'phone order' / 'quick book' / 'quick quote' / 'I want to book it myself'","Two paths with intentional asymmetry — quick-book strips the wizard","client/src/pages/admin-quick-booking.tsx; client/src/pages/admin-quick-quote.tsx","Quick-book SKIPS overnight detection, holiday shift, dayBefore flag, signature, setupSurface | Quick-book creates orders with status=pending directly | Customer self-serve signature link sent afterwards if needed | Quick-quote generates PDF via /api/quotes/generate-pdf without payment"
11,"Customer account / reorder","'past customer' / 'returning customer' / 'loyalty' / 'reorder' / 'rebook' / 'account'","Email/phone lookup detects returning customers; resume token restores prior cart","client/src/pages/account.tsx; server/routes.ts (/api/orders)","Guest checkout ALWAYS allowed (email-only lookup via cleanEmail) | Loyalty tracked in customers.loyaltyPoints + loyaltyTier | Re-engagement events logged to reactivationLogs | /resume-booking?token=X restores prior cart | NO algorithmic suggested-items — let customer pick"
12,"Order activity logs","'what happened to order X' / 'audit trail' / 'who removed that' / 'activity log'","Fire-and-forget recordOrderActivity() helper that NEVER throws","server/system-logger.ts; shared/schema.ts (orderActivityLogs)","actorFromReq(req) extracts username/email from auth; falls back to system | Common actions: order_updated, pickup_removed, date_moved, discount_applied, payment_refunded | Logged with orderId + orderNumber + action + description + details JSON + performedBy + source | Admin viewer at /dubd43admin/activity | Agents query this BEFORE asking what happened"
13,"Package bundles","'bundle' / 'package' / 'kids party package' / 'multi-item deal'","packages + packageItems + orderPackages tables; recompute expands into virtual line items","shared/schema.ts (packages, packageItems, orderPackages); server/routes.ts (POST /api/orders)","Cart UI displays packages separately from line items | recomputeOrderTotals() expands packages into virtual order_items with productId=null + lineNote=from-package-X | Cart shows ""Promo codes don't stack with packages"" warning | Recompute on submit catches stale bundle math + prevents category-slot bugs"
