Section,Topic,Rule,Detail
"1. How agents work","Source-of-truth hierarchy","Read top-down before writing","Order: 1) docs/seo-learnings/lessons/YYYY-MM-DD_*.md  2) docs/seo-learnings/principles.md  3) docs/seo-learnings/references/ (stats, voice, humour, opinions, stories)  4) docs/seo-learnings/TODO_LIST.md  5) CLAUDE.md  6) memory system. If a lesson and CLAUDE.md conflict, the lesson wins."
"1. How agents work","Memory system","Persistent file-based memory per project","Path: /Users/dubd/.claude/projects/{project-slug}/memory/ with MEMORY.md index plus feedback_*.md, project_*.md, user_*.md, reference_*.md files. Each memory file has frontmatter (name, description, type) and a body. MEMORY.md is one line per memory under ~150 chars."
"1. How agents work","Memory system","When to save","Save when: I correct an approach, I confirm a non-obvious approach worked, I share a business fact not derivable from code, I reference an external system, I express a permanent preference."
"1. How agents work","Memory system","What NOT to save","Code patterns derivable from git log or current code; ephemeral task state; anything already in CLAUDE.md."
"1. How agents work","Trigger words","Short phrases load full playbooks","Examples I use: deep sweep (audit recent changes + SEO pass + check:deploy), rank map (competitive gap analysis), triple scan (3 parallel agent audits), ads cleanup (Google Ads 6-step playbook), lighthouse fix (PageSpeed to 100%). Agent never invents triggers I haven't defined."
"1. How agents work","Date everything","Every note/handoff/lesson/decision gets a YYYY-MM-DD stamp","Dated headers in AGENT_HANDOFF.md, dated lesson filenames, dated fact rows in project memories. Convert relative dates (Thursday) to absolute when saving."
"2. SEO","Non-negotiables","Google score over everything","If a third-party tool (Seobility, Ahrefs, SEMrush) flags something Google's own docs say is fine, Google wins."
"2. SEO","Non-negotiables","Never add keywords just for keywords' sake","Every keyword addition must be natural, contextually relevant, and NOT marketing-y or stuffed (no ""the brand behind"", no ""town's #1"")."
"2. SEO","Non-negotiables","Title length 50-60 chars","Hard stop 65. Never repeat brand name in every meta. Never repeat keyword stems in one title."
"2. SEO","Non-negotiables","Meta description 155-160 chars","Truncates beyond that. Tools penalize over-length; Google truncates display."
"2. SEO","Non-negotiables","Duplicate content is ENEMY #1","Paginated pages (?page=2) noindex anything past page 1. Shared text blocks must be customized with city/category-specific context. City and category pages must be >=30% unique. Never create a new page that competes with an existing one — extend instead."
"2. SEO","Non-negotiables","Check the codebase before suggesting or building","Codebase is large; many features already exist. Never waste my time pitching something already shipped."
"2. SEO","What NOT to do","No SEO changes without reading source-of-truth first","Memory + lesson files + handoff doc are mandatory pre-reads."
"2. SEO","What NOT to do","Don't add keywords without checking existence first","Search the codebase. If keyword already appears, adding it again is stuffing."
"2. SEO","What NOT to do","Don't rename h2/h1 tags","Only add to body paragraphs. H-tag renames trigger ranking volatility."
"2. SEO","What NOT to do","Don't remove duplicate pages","Noindex or differentiate instead. Deletions kill earned URL equity."
"2. SEO","What NOT to do","Don't optimize for SEO tools","Optimize for Google. Tools sometimes flag what Google explicitly allows."
"2. SEO","What NOT to do","Don't add internal links for link density","Only natural in-context links."
"2. SEO","What NOT to do","Don't churn SEO","Let changes settle 90 days before iterating again. Constant changes reset Google's evaluation clock."
"2. SEO","Before touching any page","Read memory, handoff, search codebase, trace downstream","1) Read all memory for prior context  2) Check docs/AGENT_HANDOFF.md  3) Search codebase to see if it exists  4) Trace what breaks before changing schema/routes/structure  5) Ask: ""Will Google like this?"" If no, don't do it."
"2. SEO","Never silence flags by killing content","Fix the issue, don't delete or add filler","If page genuinely doesn't need more content, mark it noindex instead. Do not delete, do not pad with garbage."
